Live,Live
Test,Test
Off,Off
Legend,Legenda
Disabled,Uit
Extension status,Extensie status
"Test Mode","Test Modus"
"Live Mode","Live Modus"
"Magento &amp; 3rd party version compatibility","Magento &amp; 3rd party versie compatibiliteit"
"Magento Community Edition version","Magento Community Edition versie"
"Magento Enterprise Edition version","Magento Enterprise Edition versie"
Support,Support

"Documentation","Documentatie"
"Documents regarding the Postcode Magento 2 extension:","Documenten met betrekking tot de Postcode Magento 2 extensie:"
"View the user manual. Currently the manual is only available in Dutch.","Bekijk de gebruikershandleiding. Momenteel enkel beschikbaar in Nederlands."
"User manual","Gebruikershandleiding"
"View the complete release notes of the extension. Currently the release notes is only available in Dutch.","Bekijk de volledige release notes van de extensie. Momenteel enkel beschikbaar in Nederlands"
"Full Release Notes","Volledige Release Notes"
"Extension version","Extensie versie"
"Postcode Service version","Postcode Service versie"
"This extension is developed by Total Internet Group (<a href="https://tig.nl" target="_blank">TIG</a>).","Deze extensie is ontwikkeld door Total Internet Group (<a href=""https://tig.nl"" target=""_blank"">TIG</a>)."
"<a href="mailto:servicedesk@tig.nl">servicedesk@tig.nl</a>","<a href="mailto:servicedesk@tig.nl">servicedesk@tig.nl</a>"

"Advantages of the Postcode Service","Voordelen van de Postcode Service"
"No analytic data collection","Geen analytische gegevensverzameling"
"Super fast","Super snel"
"99,9999% Up time","99,9999% Up-time"
"Conform WBP and ISO 27001:2005 norm","Conform WBP en ISO 27001:2005 normering"
"Support by phone","Telefonisch support"
"24/7 SLA support","24/7 SLA support"
"Can not find the address, please fill in manually","Het adres kan niet gevonden worden, vul alsjeblieft handmatig in"
"House number","Huisnummer"
"Addition","Toevoeging"

"Back-end merging","Back-end samenvoeging"
"These settings have impact on how street address data is stored in the database.","Deze instellingen hebben invloed op hoe adres data wordt opgeslagen in de database."
"Tampering with the settings may affect the workflow of third party extensions. Use at your own risk.","Het aanpassen van deze instellingen kan de werking van extensies van derden beïnvloeden. Gebruik op eigen risico."
"Street address field","Straatnaam veld"
"House number field","Huisnummer veld"
"House number addition field","Toevoeging veld"
"Street address line %1","Adres regel %1"
"These settings have no impact on the front-end.","Deze instellingen hebben geen invloed op de frontend."
"This extension is developed by Total Internet Group (TIG).","Deze instellingen hebben geen invloed op de frontend."
"Phone","Telefoon"
"The Client ID can be requested through the 'Request Credentials' button below. For support contact TIG.","De 'Client ID' kan opgevraagd worden door middel van de 'Opvragen gegevens' knop. Voor support contacteer TIG."
"The Api key can be requested through the 'Request Credentials' button below. For support contact TIG.","De 'Api key' kan opgevraagd worden door middel van de 'Opvragen gegevens' knop. Voor support contacteer TIG."
"Request Credentials","Opvragen Gegevens"
"Advanced Configuration","Geavanceerde opties"
"Sorry, we could not find the address on the given zip code and house number combination. If you are sure that the zip code and house number are correct, please fill in the address details manually.","Sorry, wij konden geen adresgegevens vinden met de opgegeven postcode en huisnummer combinatie. Indien u er zeker van bent dat de opgegeven postcode en huisnummer correct zijn, vul dan adresinformatie handig aan."
"Zip/Postal Code","Postcode"
"You can use our test credentials if needed : <strong>1177</strong>","U kunt gebruik maken van onze testgegevens : <strong>1177</strong>"
"You can use our test credentials if needed : <strong>9SRLYBCALURPE2B</strong>","U kunt gebruik maken van onze testgegevens : <strong>9SRLYBCALURPE2B</strong>"
"Our test credentials are limited to 50 request per month.","Onze testgegevens zijn gelimiteerd tot 50 opvragingen per maand."
